Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
301	0.001		Chroma		mv28001000
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.001				
307	0.001				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.001				
319	0.001				
320	0.0				
321	0.001				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.001				
337	0.001				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.001				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.001				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.001				
353	0.001				
354	0.0				
355	0.001				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.001				
362	0.0				
363	0.001				
364	0.0				
365	0.0				
366	0.0				
367	0.001				
368	0.0				
369	0.0				
370	0.0				
371	0.001				
372	0.0				
373	0.0				
374	0.001				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.001				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.001				
405	0.0				
406	0.0				
407	0.0				
408	0.001				
409	0.0				
410	0.0				
411	0.0				
412	0.001				
413	0.0				
414	0.0				
415	0.001				
416	0.001				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.001				
425	0.0				
426	0.001				
427	0.0				
428	0.001				
429	0.0				
430	0.001				
431	0.0				
432	0.001				
433	0.0				
434	0.001				
435	0.0				
436	0.001				
437	0.0				
438	0.001				
439	0.0				
440	0.0				
441	0.0				
442	0.001				
443	0.0				
444	0.0				
445	0.0				
446	0.001				
447	0.0				
448	0.0				
449	0.0				
450	0.001				
451	0.001				
452	0.0				
453	0.0				
454	0.0				
455	0.0				
456	0.001				
457	0.0				
458	0.001				
459	0.0				
460	0.0				
461	0.0				
462	0.001				
463	0.0				
464	0.0				
465	0.0				
466	0.001				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.001				
477	0.0				
478	0.0				
479	0.0				
480	0.001				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.001				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
