Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Chroma		AT605/55m
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.001				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.001				
357	0.001				
358	0.001				
359	0.0				
360	0.002				
361	0.003				
362	0.005				
363	0.001				
364	0.001				
365	0.004				
366	0.008				
367	0.006				
368	0.001				
369	0.001				
370	0.006				
371	0.008				
372	0.004				
373	0.002				
374	0.0				
375	0.002				
376	0.011				
377	0.002				
378	0.001				
379	0.002				
380	0.001				
381	0.009				
382	0.006				
383	0.0				
384	0.001				
385	0.001				
386	0.007				
387	0.014				
388	0.002				
389	0.001				
390	0.001				
391	0.004				
392	0.019				
393	0.005				
394	0.002				
395	0.001				
396	0.001				
397	0.013				
398	0.017				
399	0.001				
400	0.0				
401	0.003				
402	0.004				
403	0.014				
404	0.017				
405	0.001				
406	0.0				
407	0.001				
408	0.006				
409	0.02				
410	0.021				
411	0.006				
412	0.001				
413	0.001				
414	0.004				
415	0.033				
416	0.022				
417	0.005				
418	0.003				
419	0.003				
420	0.012				
421	0.054				
422	0.012				
423	0.002				
424	0.003				
425	0.013				
426	0.053				
427	0.011				
428	0.001				
429	0.001				
430	0.038				
431	0.012				
432	0.0				
433	0.007				
434	0.008				
435	0.0				
436	0.0				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	0.0				
442	0.0				
443	0.0				
444	0.0				
445	0.0				
446	0.0				
447	0.0				
448	0.0				
449	0.0				
450	0.0				
451	0.0				
452	0.0				
453	0.0				
454	0.0				
455	0.0				
456	0.0				
457	0.0				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	0.0				
502	0.0				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	0.0				
508	0.0				
509	0.0				
510	0.0				
511	0.0				
512	0.0				
513	0.0				
514	0.0				
515	0.0				
516	0.0				
517	0.0				
518	0.0				
519	0.0				
520	0.0				
521	0.0				
522	0.0				
523	0.0				
524	0.0				
525	0.0				
526	0.0				
527	0.0				
528	0.0				
529	0.0				
530	0.0				
531	0.0				
532	0.0				
533	0.0				
534	0.0				
535	0.0				
536	0.0				
537	0.0				
538	0.0				
539	0.0				
