Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Omega	440AF21 Bandpass	XF1071/22
301	0.0				
302	0.0				
303	0.0				
304	0.001				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.001				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.001				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.001				
359	0.0				
360	0.0				
361	0.0				
362	0.002				
363	0.0				
364	0.001				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.001				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.002				
389	0.0				
390	0.001				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.001				
404	0.002				
405	0.0				
406	0.001				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.001				
421	0.0				
422	0.001				
423	0.001				
424	0.002				
425	0.0				
426	0.0				
427	0.001				
428	0.004				
429	0.02				
430	0.094				
431	0.357				
432	1.754				
433	7.993				
434	20.198				
435	31.2				
436	35.368				
437	35.062				
438	34.498				
439	35.425				
440	37.228				
441	38.682				
442	39.574				
443	40.18				
444	40.44				
445	39.746				
446	37.495				
447	31.635				
448	19.958				
449	7.764				
450	1.726				
451	0.349				
452	0.082				
453	0.018				
454	0.006				
455	0.001				
456	0.001				
457	0.001				
458	0.0				
459	0.002				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.001				
465	0.001				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.001				
474	0.001				
475	0.001				
476	0.0				
477	0.001				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.001				
493	0.0				
494	0.0				
495	0.001				
496	0.001				
497	0.001				
498	0.0				
499	0.001				
500	0.0				
501	0.0				
502	0.0				
503	0.0				
504	0.0				
505	0.001				
506	0.0				
507	0.001				
508	0.0				
509	0.0				
510	0.0				
511	0.002				
512	0.0				
513	0.0				
514	0.001				
515	0.0				
516	0.001				
517	0.0				
518	0.0				
519	0.0				
520	0.001				
521	0.0				
522	0.001				
523	0.0				
524	0.0				
525	0.0				
526	0.0				
527	0.0				
528	0.0				
529	0.0				
530	0.0				
531	0.0				
532	0.0				
533	0.0				
534	0.0				
535	0.0				
536	0.0				
537	0.0				
538	0.0				
539	0.0				
540	0.0				
541	0.0				
542	0.0				
543	0.0				
544	0.003				
545	0.002				
546	0.0				
547	0.001				
548	0.0				
549	0.001				
550	0.0				
551	0.0				
552	0.0				
553	0.0				
554	0.0				
555	0.001				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.001				
561	0.0				
562	0.0				
563	0.0				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.0				
571	0.0				
572	0.0				
573	0.0				
574	0.0				
575	0.001				
576	0.0				
577	0.0				
578	0.0				
