Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Omega	457-528-600TBEM Triple Band	W5694
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.004				
434	0.017				
435	0.064				
436	0.256				
437	1.394				
438	11.264				
439	56.4				
440	86.397				
441	89.869				
442	94.577				
443	88.886				
444	84.635				
445	87.306				
446	91.664				
447	92.482				
448	90.398				
449	88.846				
450	89.527				
451	92.065				
452	94.335				
453	94.281				
454	92.249				
455	91.232				
456	93.048				
457	95.647				
458	95.186				
459	92.238				
460	92.862				
461	88.757				
462	47.923				
463	11.975				
464	2.373				
465	0.575				
466	0.171				
467	0.06				
468	0.023				
469	0.009				
470	0.003				
471	0.001				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.002				
481	0.009				
482	0.007				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	0.0				
502	0.0				
503	0.001				
504	0.005				
505	0.015				
506	0.04				
507	0.115				
508	0.365				
509	1.345				
510	6.122				
511	28.507				
512	74.711				
513	94.248				
514	92.576				
515	92.934				
516	91.229				
517	86.449				
518	83.236				
519	85.297				
520	91.706				
521	96.812				
522	94.463				
523	86.547				
524	80.037				
525	79.376				
526	84.569				
